Tmax,Delta,lambda,blocks,sum_eps2,sum_d2,F_lambda,T_logT_loglogT,T_log2T
200,1.1858831535554488,0.03562247271358196,169,7.270540122154054,1909.208207596056,75.28125740179128,1766.8715286698662,5614.433383332904
500,1.0110348404390626,0.025892411869841925,495,17.598197850727686,3263.6748089074044,102.10261021218585,5676.7420503357,19310.67690848734
1000,0.9095842358945609,0.02095685522351266,1100,34.99471446355908,7865.571502519633,199.83235769204998,13350.236863105729,47717.08299430558
2000,0.8266367501258683,0.01730890846504534,2420,70.05079282600775,18353.447380822214,387.72893355868564,30833.319028561982,115547.43639894575
5000,0.7377060923675982,0.01378500739746479,6778,176.49761073706586,55713.47756539132,944.5083111144738,91222.83762596482,362712.8992995356
10000,0.6821881769209206,0.011788231063225867,14659,353.7035485482055,127171.51272323282,1852.8307251896422,204499.6562367072,848303.6976765438
